treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.id_in_group,player.random_block,player.random_order,player.control_question1,player.control_question2,player.alternative1,player.policy_choice,player.Price_UR_A,player.Price_UN_A,player.Price_O_A,player.EV_A,player.Revenue_A,player.Price_UR_B,player.Price_UN_B,player.Price_O_B,player.EV_B,player.Revenue_B,player.attributes_binary_1,player.attributes_binary_2,player.attributes_binary_3,player.attributes_binary_4,player.attributes_binary_5,subsession.round_number,session.code
Public Services,108,nc77kida,169,169,A_Planet3_ES,End,58:30.7,1,108,3,370524361,,,,1,3,3,4,2,3,2,2,1,3,5,,,,,,6,uln4i2w2
Road Pricing,109,hgm4z5p8,169,169,A_Planet3_ES,End,09:04.2,1,109,5,562140375,,,,2,2,1,4,3,1,3,2,1,4,2,,,,,,6,uln4i2w2
Social Norm,110,e13kuef8,169,169,A_Planet3_ES,End,46:49.4,1,110,6,647126350,,,,1,4,4,3,3,4,3,3,2,1,3,,,,,,6,uln4i2w2
Baseline,111,3cz9co3h,169,169,A_Planet3_ES,End,55:55.2,1,111,3,371520643,,,,3,4,1,2,4,5,3,3,4,3,4,,,,,,6,uln4i2w2
Pollution,112,5j8u76qo,169,169,A_Planet3_ES,End,32:04.8,1,112,2,214306527,,,,1,1,1,4,3,5,4,2,2,2,3,,,,,,6,uln4i2w2
Public Services,113,lp4ad4ql,169,169,A_Planet3_ES,End,34:52.9,1,113,6,626541703,,,,3,3,1,4,1,3,4,4,3,4,5,,,,,,6,uln4i2w2
Road Pricing,114,syr4wgae,169,169,A_Planet3_ES,End,03:58.3,1,114,1,163107245,,,,1,4,4,1,1,2,1,1,2,2,3,,,,,,6,uln4i2w2
Pollution,117,xbf6cmvi,169,169,A_Planet3_ES,End,10:10.1,1,117,1,163145702,,,,3,4,4,3,1,2,3,2,1,2,1,,,,,,6,uln4i2w2
Public Services,118,sntst306,169,169,A_Planet3_ES,End,18:17.1,1,118,7,710437256,,,,2,3,3,4,1,4,4,1,2,3,3,,,,,,6,uln4i2w2
Road Pricing,119,gem1bswc,169,169,A_Planet3_ES,End,04:55.5,1,119,5,543260175,,,,3,4,4,1,3,4,3,1,3,2,2,,,,,,6,uln4i2w2
Social Norm,120,xhwxoldo,169,169,A_Planet3_ES,End,51:53.9,1,120,3,354763201,,,,1,4,1,2,1,4,2,2,3,3,3,,,,,,6,uln4i2w2
Baseline,121,mh0zrq4j,169,169,A_Planet3_ES,End,24:43.7,1,121,0,47026531,,,,3,3,3,2,4,1,4,4,4,2,5,,,,,,6,uln4i2w2
Pollution,122,thyenl6n,169,169,A_Planet3_ES,End,03:41.3,1,122,3,357402136,,,,1,3,2,3,1,2,4,4,4,2,1,,,,,,6,uln4i2w2
Public Services,123,7kaff9s6,169,169,A_Planet3_ES,End,35:34.2,1,123,7,760137524,,,,2,3,2,4,3,3,2,1,2,1,1,,,,,,6,uln4i2w2
Road Pricing,124,sluauxoo,169,169,A_Planet3_ES,End,04:11.4,1,124,6,621364570,,,,3,1,1,4,1,2,4,4,3,4,5,,,,,,6,uln4i2w2
Social Norm,125,xf7pyh82,169,169,A_Planet3_ES,End,18:04.6,1,125,7,774605123,,,,3,3,4,4,2,2,1,1,3,1,5,,,,,,6,uln4i2w2
Baseline,126,230y2x7c,169,169,A_Planet3_ES,End,13:21.3,1,126,7,740263175,,,,2,3,4,4,2,2,1,1,3,1,5,,,,,,6,uln4i2w2
Pollution,127,ikggdxke,169,169,A_Planet3_ES,End,53:43.3,1,127,0,17542360,,,,3,3,1,1,3,3,2,2,4,1,4,,,,,,6,uln4i2w2
Public Services,128,2s5j0zxj,169,169,A_Planet3_ES,End,19:02.4,1,128,0,3517426,,,,2,3,4,3,4,4,1,1,4,1,5,,,,,,6,uln4i2w2
Road Pricing,129,xyklbkdg,169,169,A_Planet3_ES,End,52:01.7,1,129,6,625346170,,,,2,1,1,4,3,4,2,2,1,2,2,,,,,,6,uln4i2w2
Social Norm,130,4tw3gwgv,169,169,A_Planet3_ES,End,45:53.3,1,130,3,361470352,,,,3,3,3,4,2,3,2,2,1,3,5,,,,,,6,uln4i2w2
Baseline,131,uc0t2qo5,169,169,A_Planet3_ES,End,33:39.0,1,131,6,636540712,,,,2,3,1,4,1,3,4,4,3,4,5,,,,,,6,uln4i2w2
Pollution,132,fuj3ub9q,169,169,A_Planet3_ES,End,43:59.7,1,132,3,364713025,,,,2,4,3,2,4,5,3,4,3,2,1,,,,,,6,uln4i2w2
Public Services,133,s8o9n3p1,169,169,A_Planet3_ES,End,03:22.7,1,133,4,406321475,,,,3,3,3,3,4,3,4,2,4,1,1,,,,,,6,uln4i2w2
Road Pricing,134,j4sbb0ov,169,169,A_Planet3_ES,End,11:34.4,1,134,6,656173042,,,,3,3,1,3,1,5,2,2,2,2,2,,,,,,6,uln4i2w2
Social Norm,135,hdvmjrl0,169,169,A_Planet3_ES,End,12:47.5,1,135,3,324065713,,,,1,3,3,1,1,5,1,1,2,4,1,,,,,,6,uln4i2w2
Baseline,136,ygq2rbch,169,169,A_Planet3_ES,End,46:32.4,1,136,0,76324510,,,,2,3,3,2,4,1,4,4,4,2,5,,,,,,6,uln4i2w2
Pollution,137,iua0kr3o,169,169,A_Planet3_ES,End,26:11.6,1,137,7,715637420,,,,3,1,1,1,3,2,2,2,4,4,3,,,,,,6,uln4i2w2
Public Services,138,g0rid3nm,169,169,A_Planet3_ES,End,26:13.3,1,138,6,603547612,,,,1,2,2,2,4,5,3,1,1,1,2,,,,,,6,uln4i2w2
Road Pricing,139,ha59x5xj,169,169,A_Planet3_ES,End,26:14.0,1,139,4,417526403,,,,2,3,3,3,4,3,4,2,4,1,1,,,,,,6,uln4i2w2
Social Norm,140,nxuvgudh,169,169,A_Planet3_ES,End,40:52.7,1,140,5,504631572,,,,1,3,4,2,4,2,4,3,3,2,1,,,,,,6,uln4i2w2
Baseline,141,wat5ykjw,169,169,A_Planet3_ES,End,22:44.1,1,141,7,731726540,,,,2,3,2,4,3,3,2,1,2,1,1,,,,,,6,uln4i2w2
Pollution,142,cg7odc0d,169,169,A_Planet3_ES,End,54:30.1,1,142,5,564027351,,,,1,3,2,1,4,2,2,1,4,3,1,,,,,,6,uln4i2w2
Public Services,143,jf155q1k,169,169,A_Planet3_ES,End,04:56.7,1,143,0,46520731,,,,2,1,1,3,2,5,3,1,1,3,4,,,,,,6,uln4i2w2
Road Pricing,144,ualit105,169,169,A_Planet3_ES,End,31:30.0,1,144,5,556147203,,,,1,1,1,3,3,2,2,2,1,1,5,,,,,,6,uln4i2w2
Baseline,146,dli4uco2,169,169,A_Planet3_ES,End,58:57.1,1,146,0,76213504,,,,2,4,4,4,2,5,3,3,2,4,1,,,,,,6,uln4i2w2
Pollution,147,k32enl63,169,169,A_Planet3_ES,End,16:19.5,1,147,2,237021654,,,,1,3,3,3,4,2,4,4,1,1,3,,,,,,6,uln4i2w2
Public Services,148,al9l66sd,169,169,A_Planet3_ES,End,13:01.0,1,148,0,57126340,,,,3,3,1,1,3,3,2,2,4,1,4,,,,,,6,uln4i2w2
Road Pricing,149,xn9ipvip,169,169,A_Planet3_ES,End,54:00.6,1,149,1,132741560,,,,2,4,2,4,4,4,3,3,1,3,5,,,,,,6,uln4i2w2
Social Norm,150,p5anjbks,169,169,A_Planet3_ES,End,45:26.7,1,150,5,554163207,,,,1,2,2,1,1,5,1,1,3,3,2,,,,,,6,uln4i2w2
Baseline,151,pyvwc9dp,169,169,A_Planet3_ES,End,57:13.0,1,151,3,320547613,,,,2,3,3,4,3,4,4,1,2,4,5,,,,,,6,uln4i2w2
Pollution,152,ednmwqsq,169,169,A_Planet3_ES,End,07:55.2,1,152,3,351763420,,,,3,4,3,1,4,1,3,2,2,3,2,,,,,,6,uln4i2w2
Public Services,153,kxuu2bs4,169,169,A_Planet3_ES,End,56:40.5,1,153,5,537206514,,,,3,3,4,2,4,2,4,3,3,2,1,,,,,,6,uln4i2w2
Road Pricing,154,h8f8w5um,169,169,A_Planet3_ES,End,56:14.4,1,154,6,641765320,,,,1,4,4,3,3,4,3,3,2,1,3,,,,,,6,uln4i2w2
Social Norm,155,yucwbaou,169,169,A_Planet3_ES,End,30:09.2,1,155,7,774052316,,,,3,4,3,3,2,4,1,1,1,4,1,,,,,,6,uln4i2w2
Baseline,156,n80pv3ck,169,169,A_Planet3_ES,End,01:31.0,1,156,3,305473162,,,,3,3,2,3,1,2,4,4,4,2,1,,,,,,6,uln4i2w2
Pollution,157,7nlvytby,169,169,A_Planet3_ES,End,01:03.4,1,157,6,602546173,,,,3,2,2,1,2,2,1,1,4,3,4,,,,,,6,uln4i2w2
Public Services,158,m9zvgyzs,169,169,A_Planet3_ES,End,49:34.4,1,158,1,126543017,,,,2,2,1,3,2,1,1,1,2,4,3,,,,,,6,uln4i2w2
Road Pricing,159,b2j3paqm,169,169,A_Planet3_ES,End,45:18.4,1,159,3,341305276,,,,3,2,2,3,3,3,4,1,2,1,4,,,,,,6,uln4i2w2
Social Norm,160,vdln2n3p,169,169,A_Planet3_ES,End,04:09.9,1,160,4,425473610,,,,2,3,3,2,3,5,1,1,4,1,2,,,,,,6,uln4i2w2
Baseline,161,u4g1gko4,169,169,A_Planet3_ES,End,32:30.2,1,161,6,645761032,,,,1,3,1,3,1,5,2,2,2,2,2,,,,,,6,uln4i2w2
Pollution,162,raou7epo,169,169,A_Planet3_ES,End,27:43.7,1,162,4,454306712,,,,2,4,4,3,1,1,2,1,4,4,5,,,,,,6,uln4i2w2
Public Services,163,rvot49f7,169,169,A_Planet3_ES,End,06:55.6,1,163,7,713765042,,,,2,1,1,1,4,4,2,1,2,3,1,,,,,,6,uln4i2w2
Social Norm,165,tw781squ,169,169,A_Planet3_ES,End,18:33.0,1,165,3,354072316,,,,1,2,2,1,3,5,3,3,4,2,3,,,,,,6,uln4i2w2
Baseline,166,8yy8lbem,169,169,A_Planet3_ES,End,36:09.2,1,166,6,676451203,,,,1,4,4,2,1,2,3,1,3,3,4,,,,,,6,uln4i2w2
Pollution,167,2laod51g,169,169,A_Planet3_ES,End,14:05.9,1,167,5,546037251,,,,2,1,1,3,3,2,2,2,1,1,5,,,,,,6,uln4i2w2
Public Services,168,eyjtzeox,169,169,A_Planet3_ES,End,48:53.3,1,168,2,201346752,,,,1,3,1,4,4,4,4,3,2,3,2,,,,,,6,uln4i2w2
Road Pricing,169,7z0h7kdw,169,169,A_Planet3_ES,End,14:28.5,1,169,0,74653201,,,,1,3,2,1,1,5,4,3,4,2,3,,,,,,6,uln4i2w2
Social Norm,170,ndxtxxft,169,169,A_Planet3_ES,End,27:20.5,1,170,0,15204367,,,,2,2,2,4,1,4,3,1,1,3,3,,,,,,6,uln4i2w2
Baseline,171,dqw6kryc,169,169,A_Planet3_ES,End,30:16.3,1,171,2,201275364,,,,2,3,2,4,1,1,1,1,1,2,3,,,,,,6,uln4i2w2
Pollution,172,lxk5jg4h,169,169,A_Planet3_ES,End,13:33.0,1,172,5,545702613,,,,2,4,1,2,3,4,3,3,4,4,5,,,,,,6,uln4i2w2
Public Services,173,7gij7cjw,169,169,A_Planet3_ES,End,14:11.7,1,173,5,520457163,,,,1,4,4,1,3,4,3,1,3,2,2,,,,,,6,uln4i2w2
Road Pricing,174,2k427npd,169,169,A_Planet3_ES,End,38:40.9,1,174,0,5743621,,,,2,3,1,2,4,4,2,2,1,2,3,,,,,,6,uln4i2w2
Social Norm,175,2yc6rfw3,169,169,A_Planet3_ES,End,28:27.5,1,175,5,540123576,,,,3,4,3,3,2,1,3,4,2,4,2,,,,,,6,uln4i2w2
Baseline,176,gymz3qag,169,169,A_Planet3_ES,End,29:57.8,1,176,4,431246507,,,,1,4,1,1,4,3,3,4,2,2,2,,,,,,6,uln4i2w2
Pollution,177,dejwknyd,169,169,A_Planet3_ES,End,16:56.8,1,177,6,635072614,,,,2,2,2,2,4,5,3,1,1,1,2,,,,,,6,uln4i2w2
Public Services,178,bzwht5ou,169,169,A_Planet3_ES,End,04:37.5,1,178,4,413452760,,,,1,2,1,4,4,5,4,4,3,1,1,,,,,,6,uln4i2w2
Road Pricing,179,hsqyb82x,169,169,A_Planet3_ES,End,42:53.3,1,179,0,1273546,,,,2,3,3,2,4,1,4,4,4,2,5,,,,,,6,uln4i2w2
Social Norm,180,k0ws2aur,169,169,A_Planet3_ES,End,00:26.2,1,180,0,10672543,,,,2,3,3,2,4,1,4,4,4,2,5,,,,,,6,uln4i2w2
Baseline,181,2g5n7pyg,169,169,A_Planet3_ES,End,33:25.2,1,181,0,7561243,,,,2,4,3,4,2,3,3,2,1,1,5,,,,,,6,uln4i2w2
Pollution,182,g48dixz6,169,169,A_Planet3_ES,End,41:41.0,1,182,2,276405123,,,,3,3,4,4,4,3,1,1,3,2,4,,,,,,6,uln4i2w2
Public Services,183,fwfuqj1n,169,169,A_Planet3_ES,End,50:28.6,1,183,5,534607251,,,,1,1,1,3,3,2,2,2,1,1,5,,,,,,6,uln4i2w2
Road Pricing,184,gtdje6cr,169,169,A_Planet3_ES,End,19:41.0,1,184,6,661275403,,,,1,3,4,2,3,5,4,2,1,4,1,,,,,,6,uln4i2w2
Social Norm,185,3eul560y,169,169,A_Planet3_ES,End,14:00.8,1,185,2,237564120,,,,1,3,4,4,4,3,1,1,3,2,4,,,,,,6,uln4i2w2
Baseline,186,0cs54xye,169,169,A_Planet3_ES,End,06:59.8,1,186,0,51043672,,,,1,2,2,1,2,3,3,1,2,4,4,,,,,,6,uln4i2w2
Pollution,187,eylqxj71,169,169,A_Planet3_ES,End,34:20.2,1,187,7,776321054,,,,1,2,1,2,3,1,1,1,1,4,4,,,,,,6,uln4i2w2
Public Services,188,ruyh9n6b,169,169,A_Planet3_ES,End,23:53.9,1,188,6,601724653,,,,1,2,2,2,4,5,3,1,1,1,2,,,,,,6,uln4i2w2
Road Pricing,189,8pynl7ss,169,169,A_Planet3_ES,End,10:56.7,1,189,1,105642731,,,,2,3,2,1,2,1,4,4,3,1,2,,,,,,6,uln4i2w2
Social Norm,190,59n20b5h,169,169,A_Planet3_ES,End,27:05.9,1,190,1,167510243,,,,2,4,4,1,1,2,1,1,2,2,3,,,,,,6,uln4i2w2
Baseline,191,j2mq41ck,169,169,A_Planet3_ES,End,12:21.9,1,191,5,565701234,,,,1,2,2,1,1,5,1,1,3,3,2,,,,,,6,uln4i2w2
Pollution,192,1ikxvt4t,169,169,A_Planet3_ES,End,35:12.9,1,192,5,562413570,,,,2,3,4,2,4,2,4,3,3,2,1,,,,,,6,uln4i2w2
Public Services,193,kmuqcxnd,169,169,A_Planet3_ES,End,42:00.5,1,193,0,12374605,,,,2,3,1,2,4,4,2,2,1,2,3,,,,,,6,uln4i2w2
Road Pricing,194,zzfp66nz,169,169,A_Planet3_ES,End,12:29.1,1,194,5,503456271,,,,1,1,1,3,3,2,2,2,1,1,5,,,,,,6,uln4i2w2
Social Norm,195,rzj1zkde,169,169,A_Planet3_ES,End,37:10.1,1,195,5,554203617,,,,2,4,1,2,3,4,3,3,4,4,5,,,,,,6,uln4i2w2
Baseline,196,8h261v8y,169,169,A_Planet3_ES,End,05:13.6,1,196,0,37064152,,,,2,3,4,3,1,4,4,2,1,3,2,,,,,,6,uln4i2w2
Pollution,197,kehx30i1,169,169,A_Planet3_ES,End,27:47.8,1,197,2,220657431,,,,2,2,1,2,1,3,3,2,3,2,5,,,,,,6,uln4i2w2
Public Services,198,h954glar,169,169,A_Planet3_ES,End,34:56.3,1,198,6,641752630,,,,1,2,2,2,4,5,3,1,1,1,2,,,,,,6,uln4i2w2
Road Pricing,199,rf36vzrz,169,169,A_Planet3_ES,End,09:41.9,1,199,5,556473120,,,,3,3,1,3,2,2,4,4,1,3,4,,,,,,6,uln4i2w2
Social Norm,200,zx9q6r8j,169,169,A_Planet3_ES,End,24:48.8,1,200,1,141630527,,,,2,3,3,1,3,5,4,2,4,4,4,,,,,,6,uln4i2w2
Baseline,201,zuchyshq,169,169,A_Planet3_ES,End,38:43.1,1,201,4,473012456,,,,1,4,2,4,1,1,3,3,3,4,3,,,,,,6,uln4i2w2
Pollution,202,usw0ho0w,169,169,A_Planet3_ES,End,12:36.2,1,202,5,565271430,,,,2,4,1,3,1,3,3,3,2,3,1,,,,,,6,uln4i2w2
Public Services,203,yg0u2s29,169,169,A_Planet3_ES,End,47:27.5,1,203,4,473650241,,,,3,4,2,2,2,4,2,1,4,3,1,,,,,,6,uln4i2w2
Road Pricing,204,icyy4gj9,169,169,A_Planet3_ES,End,59:55.9,1,204,3,373215640,,,,2,3,3,4,3,4,4,1,2,4,5,,,,,,6,uln4i2w2
Social Norm,205,ofovwmcu,169,169,A_Planet3_ES,End,50:24.9,1,205,1,156140723,,,,3,3,2,1,2,1,4,4,3,1,2,,,,,,6,uln4i2w2
Baseline,206,ej6rauep,169,169,A_Planet3_ES,End,20:55.9,1,206,4,405734261,,,,1,2,1,4,3,1,4,2,2,2,4,,,,,,6,uln4i2w2
Pollution,207,2jujl8yx,169,169,A_Planet3_ES,End,11:08.7,1,207,3,356032741,,,,1,3,3,1,1,5,1,1,2,4,1,,,,,,6,uln4i2w2
Public Services,208,3zckjiwm,169,169,A_Planet3_ES,End,08:43.6,1,208,6,602375461,,,,2,4,2,1,4,1,3,4,2,3,5,,,,,,6,uln4i2w2
Road Pricing,209,99uvy2a3,169,169,A_Planet3_ES,End,28:05.1,1,209,6,653710246,,,,3,4,4,2,1,2,3,1,3,3,4,,,,,,6,uln4i2w2
Social Norm,210,1p5o9whu,169,169,A_Planet3_ES,End,23:00.6,1,210,4,402714536,,,,1,4,1,1,4,3,3,4,2,2,2,,,,,,6,uln4i2w2
Baseline,211,4qwckjvh,169,169,A_Planet3_ES,End,09:26.6,1,211,5,541375062,,,,2,4,3,2,2,1,2,2,3,3,3,,,,,,6,uln4i2w2
Pollution,212,nu61zd7a,169,169,A_Planet3_ES,End,20:42.4,1,212,2,241257306,,,,1,1,1,1,2,3,3,2,4,1,1,,,,,,6,uln4i2w2
Public Services,213,o7sv55mv,169,169,A_Planet3_ES,End,18:55.4,1,213,3,304723615,,,,3,4,1,2,4,5,3,3,4,3,4,,,,,,6,uln4i2w2
Road Pricing,214,xb5otfec,169,169,A_Planet3_ES,End,05:40.7,1,214,4,413457062,,,,2,4,1,3,4,1,2,2,1,3,4,,,,,,6,uln4i2w2
Social Norm,215,t0s3r5ft,169,169,A_Planet3_ES,End,55:10.1,1,215,4,473162405,,,,2,4,2,4,1,1,3,3,3,4,3,,,,,,6,uln4i2w2
Baseline,216,3wya37jq,169,169,A_Planet3_ES,End,18:42.8,1,216,7,770643251,,,,3,3,3,4,1,4,4,1,2,3,3,,,,,,6,uln4i2w2
Pollution,217,0j0hel02,169,169,A_Planet3_ES,End,08:25.6,1,217,2,221304567,,,,1,1,1,4,3,5,4,2,2,2,3,,,,,,6,uln4i2w2
Public Services,218,j51480ug,169,169,A_Planet3_ES,End,09:14.7,1,218,4,416324075,,,,2,4,1,3,4,1,2,2,1,3,4,,,,,,6,uln4i2w2
Road Pricing,219,l8vd0017,169,169,A_Planet3_ES,End,07:20.2,1,219,1,164501372,,,,1,4,1,4,3,2,1,1,1,2,4,,,,,,6,uln4i2w2
Social Norm,220,z97sag0o,169,169,A_Planet3_ES,End,35:11.2,1,220,7,736072541,,,,1,2,1,2,1,1,3,2,4,3,3,,,,,,6,uln4i2w2
Baseline,221,xfy4mzya,169,169,A_Planet3_ES,End,55:12.0,1,221,0,20537416,,,,1,1,1,4,1,5,3,4,3,4,4,,,,,,6,uln4i2w2
Pollution,222,f3cgwwti,169,169,A_Planet3_ES,End,31:45.5,1,222,4,453426107,,,,1,3,4,4,4,1,2,1,3,2,4,,,,,,6,uln4i2w2
Public Services,223,1e3j5imf,169,169,A_Planet3_ES,End,43:11.6,1,223,4,442760153,,,,2,3,4,4,4,1,2,1,3,2,4,,,,,,6,uln4i2w2
Road Pricing,224,hcvx6gus,169,169,A_Planet3_ES,End,45:41.4,1,224,2,242350761,,,,2,4,3,2,3,2,3,1,4,4,4,,,,,,6,uln4i2w2
Social Norm,225,8yxizjok,169,169,A_Planet3_ES,End,31:43.3,1,225,5,512503467,,,,3,4,1,3,1,3,3,3,2,3,1,,,,,,6,uln4i2w2
Baseline,226,j89nbl9l,169,169,A_Planet3_ES,End,15:27.8,1,226,5,552460317,,,,3,2,1,4,3,1,3,2,1,4,2,,,,,,6,uln4i2w2
Pollution,227,uj5049u6,169,169,A_Planet3_ES,End,53:46.0,1,227,0,6731452,,,,1,1,1,4,1,5,3,4,3,4,4,,,,,,6,uln4i2w2
Public Services,228,glhk1k70,169,169,A_Planet3_ES,End,00:38.1,1,228,7,726071543,,,,3,3,2,4,3,3,2,1,2,1,1,,,,,,6,uln4i2w2
Road Pricing,229,xxzn41d8,169,169,A_Planet3_ES,End,12:21.8,1,229,7,727145630,,,,1,3,1,2,2,5,4,3,1,3,3,,,,,,6,uln4i2w2
Social Norm,230,kyzxxm4v,169,169,A_Planet3_ES,End,21:09.5,1,230,3,367452130,,,,3,4,4,4,2,1,3,2,3,1,2,,,,,,6,uln4i2w2
Baseline,231,2yh3thgx,169,169,A_Planet3_ES,End,19:09.8,1,231,7,741372065,,,,1,1,1,1,4,4,2,1,2,3,1,,,,,,6,uln4i2w2
Pollution,232,jmiiv7oa,169,169,A_Planet3_ES,End,15:15.4,1,232,5,554126370,,,,1,2,1,4,3,1,3,2,1,4,2,,,,,,6,uln4i2w2
Public Services,233,qgz4zlpi,169,169,A_Planet3_ES,End,45:52.2,1,233,1,102763415,,,,3,2,1,2,4,4,4,2,4,2,5,,,,,,6,uln4i2w2
Road Pricing,234,zyp5jsph,169,169,A_Planet3_ES,End,35:46.9,1,234,3,346357120,,,,2,4,4,4,2,1,3,2,3,1,2,,,,,,6,uln4i2w2
Social Norm,235,3nruygk4,169,169,A_Planet3_ES,End,21:17.6,1,235,4,431520674,,,,2,1,1,4,1,2,3,3,2,3,5,,,,,,6,uln4i2w2
Baseline,236,4e3evrex,169,169,A_Planet3_ES,End,10:26.9,1,236,2,236541702,,,,2,4,3,2,3,2,3,1,4,4,4,,,,,,6,uln4i2w2
Pollution,237,dtsnstom,169,169,A_Planet3_ES,End,02:10.7,1,237,0,73041526,,,,3,3,3,2,4,1,4,4,4,2,5,,,,,,6,uln4i2w2
Public Services,238,qczkxony,169,169,A_Planet3_ES,End,26:08.5,1,238,4,412536470,,,,1,4,2,4,1,1,3,3,3,4,3,,,,,,6,uln4i2w2
Road Pricing,239,l32fjokr,169,169,A_Planet3_ES,End,42:07.1,1,239,1,160134275,,,,2,1,1,2,2,3,4,4,1,1,2,,,,,,6,uln4i2w2
Social Norm,240,43ka5pq8,169,169,A_Planet3_ES,End,38:14.4,1,240,6,620461375,,,,3,3,3,2,1,3,4,4,3,3,4,,,,,,6,uln4i2w2
Baseline,241,31icrenz,169,169,A_Planet3_ES,End,56:07.9,1,241,2,203265471,,,,2,3,2,3,2,5,2,1,2,1,3,,,,,,6,uln4i2w2
Pollution,242,8wlnfqgh,169,169,A_Planet3_ES,End,13:15.2,1,242,1,142360517,,,,3,4,2,4,4,4,3,3,1,3,5,,,,,,6,uln4i2w2
Public Services,243,w2ri2ul8,169,169,A_Planet3_ES,End,33:04.8,1,243,2,206421753,,,,1,3,1,4,4,4,4,3,2,3,2,,,,,,6,uln4i2w2
Road Pricing,244,1gvw8q3t,169,169,A_Planet3_ES,End,07:12.8,1,244,2,202643175,,,,1,1,1,3,2,4,3,4,4,4,3,,,,,,6,uln4i2w2
Social Norm,245,y7eawb8n,169,169,A_Planet3_ES,End,52:40.5,1,245,4,404152637,,,,1,3,3,2,3,5,1,1,4,1,2,,,,,,6,uln4i2w2
Baseline,246,b9pu3vjx,169,169,A_Planet3_ES,End,45:12.3,1,246,4,440175632,,,,2,1,1,4,1,2,3,3,2,3,5,,,,,,6,uln4i2w2
Pollution,247,rfapg1hp,169,169,A_Planet3_ES,End,45:18.0,1,247,7,715037246,,,,1,4,1,2,3,3,3,3,4,1,4,,,,,,6,uln4i2w2
Public Services,248,675xccow,169,169,A_Planet3_ES,End,09:45.2,1,248,3,303251764,,,,3,1,1,2,4,1,3,3,1,1,5,,,,,,6,uln4i2w2
Road Pricing,249,x5lr3yks,169,169,A_Planet3_ES,End,29:24.4,1,249,3,332514067,,,,2,4,3,2,4,5,3,4,3,2,1,,,,,,6,uln4i2w2
Social Norm,250,absgb5uj,169,169,A_Planet3_ES,End,16:53.2,1,250,5,570321456,,,,1,4,1,3,1,3,3,3,2,3,1,,,,,,6,uln4i2w2
Baseline,251,1d0poo9h,169,169,A_Planet3_ES,End,39:42.8,1,251,4,407651243,,,,1,2,1,4,3,1,4,2,2,2,4,,,,,,6,uln4i2w2
Pollution,252,xiq7fltm,169,169,A_Planet3_ES,End,15:22.4,1,252,7,752063714,,,,3,3,4,1,1,3,2,2,4,4,2,,,,,,6,uln4i2w2
Public Services,253,iv701z17,169,169,A_Planet3_ES,End,23:21.7,1,253,2,220416735,,,,2,3,1,4,4,4,4,3,2,3,2,,,,,,6,uln4i2w2
Road Pricing,254,kevmuj1h,169,169,A_Planet3_ES,End,49:13.1,1,254,5,525610734,,,,3,4,3,3,1,2,3,1,2,2,5,,,,,,6,uln4i2w2
Social Norm,255,tf5jk4n7,169,169,A_Planet3_ES,End,05:30.0,1,255,7,760243157,,,,3,3,4,4,2,2,1,1,3,1,5,,,,,,6,uln4i2w2
Baseline,256,7ezg3uk8,169,169,A_Planet3_ES,End,22:10.0,1,256,6,664351207,,,,1,3,1,3,3,4,4,4,2,1,2,,,,,,6,uln4i2w2
Pollution,257,9iqp2x07,169,169,A_Planet3_ES,End,56:36.8,1,257,5,501437652,,,,1,4,1,2,3,4,3,3,4,4,5,,,,,,6,uln4i2w2
Public Services,258,vywa3ivw,169,169,A_Planet3_ES,End,38:30.5,1,258,2,260734215,,,,2,3,4,3,1,3,4,3,1,3,4,,,,,,6,uln4i2w2
Road Pricing,259,n0j1ad5p,169,169,A_Planet3_ES,End,10:56.6,1,259,1,106374215,,,,3,1,1,2,2,3,4,4,1,1,2,,,,,,6,uln4i2w2
Social Norm,260,34wr3ho4,169,169,A_Planet3_ES,End,49:01.5,1,260,4,413650724,,,,1,4,4,3,1,1,2,1,4,4,5,,,,,,6,uln4i2w2
Baseline,261,vshbi7qp,169,169,A_Planet3_ES,End,08:52.4,1,261,7,742057163,,,,2,3,4,4,2,2,1,1,3,1,5,,,,,,6,uln4i2w2
Pollution,262,xibdhyj2,169,169,A_Planet3_ES,End,57:03.9,1,262,2,217403652,,,,1,3,3,3,4,2,4,4,1,1,3,,,,,,6,uln4i2w2
Public Services,263,9xuydnwh,169,169,A_Planet3_ES,End,35:19.7,1,263,4,402546731,,,,2,2,1,4,4,5,4,4,3,1,1,,,,,,6,uln4i2w2
Road Pricing,264,dfiaeh3q,169,169,A_Planet3_ES,End,00:43.8,1,264,1,173521046,,,,3,2,1,3,2,1,1,1,2,4,3,,,,,,6,uln4i2w2
Social Norm,265,cqigxlf9,169,169,A_Planet3_ES,End,23:54.9,1,265,6,647621305,,,,1,4,4,3,3,4,3,3,2,1,3,,,,,,6,uln4i2w2
Baseline,266,46eh1004,169,169,A_Planet3_ES,End,11:20.9,1,266,4,414360725,,,,1,2,1,4,4,5,4,4,3,1,1,,,,,,6,uln4i2w2
Pollution,267,owh0yuj3,169,169,A_Planet3_ES,End,07:37.3,1,267,6,672504316,,,,1,3,3,2,1,3,4,4,3,3,4,,,,,,6,uln4i2w2
Public Services,268,zw6h1g9v,169,169,A_Planet3_ES,End,21:49.2,1,268,5,574201635,,,,3,4,1,2,3,4,3,3,4,4,5,,,,,,6,uln4i2w2
