treatment,participant.id_in_session,participant.code,player.id_in_group,player.random_block,player.random_order,control_question1,control_question2,alternative1,policy_choice,Price_UR_A,Price_UN_A,Price_O_A,EV_A,Revenue_A,Price_UR_B,Price_UN_B,Price_O_B,EV_B,Revenue_B,attributes_binary_1,attributes_binary_2,attributes_binary_3,attributes_binary_4,attributes_binary_5,subsession.round_number,session.code
Social Norm,160,vdln2n3p,160,4.0,425473610.0,,,,2.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,,,,,,7,uln4i2w2
Baseline,161,u4g1gko4,161,6.0,645761032.0,,,,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,,,,,,7,uln4i2w2
Pollution,162,raou7epo,162,4.0,454306712.0,,,,1.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,,,,,,7,uln4i2w2
Public Services,163,rvot49f7,163,7.0,713765042.0,,,,1.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,7,uln4i2w2
Social Norm,165,tw781squ,165,3.0,354072316.0,,,,2.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,,,,,,7,uln4i2w2
Baseline,166,8yy8lbem,166,6.0,676451203.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,,,,,,7,uln4i2w2
Pollution,167,2laod51g,167,5.0,546037251.0,,,,2.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,,,,,,7,uln4i2w2
Public Services,168,eyjtzeox,168,2.0,201346752.0,,,,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,5.0,,,,,,7,uln4i2w2
Road Pricing,169,7z0h7kdw,169,0.0,74653201.0,,,,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,,,,,,7,uln4i2w2
Social Norm,170,ndxtxxft,170,0.0,15204367.0,,,,2.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,,,,,,7,uln4i2w2
Baseline,171,dqw6kryc,171,2.0,201275364.0,,,,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,,,,,,7,uln4i2w2
Pollution,172,lxk5jg4h,172,5.0,545702613.0,,,,2.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,,,,,,7,uln4i2w2
Public Services,173,7gij7cjw,173,5.0,520457163.0,,,,1.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0,4.0,,,,,,7,uln4i2w2
Road Pricing,174,2k427npd,174,0.0,5743621.0,,,,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,,,,,,7,uln4i2w2
Social Norm,175,2yc6rfw3,175,5.0,540123576.0,,,,1.0,3.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,1.0,2.0,,,,,,7,uln4i2w2
Baseline,176,gymz3qag,176,4.0,431246507.0,,,,1.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,,,,,,7,uln4i2w2
Pollution,177,dejwknyd,177,6.0,635072614.0,,,,3.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,,,,,,7,uln4i2w2
Public Services,178,bzwht5ou,178,4.0,413452760.0,,,,2.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,7,uln4i2w2
Road Pricing,179,hsqyb82x,179,0.0,1273546.0,,,,1.0,1.0,1.0,4.0,1.0,5.0,3.0,4.0,3.0,4.0,4.0,,,,,,7,uln4i2w2
Social Norm,180,k0ws2aur,180,0.0,10672543.0,,,,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,7,uln4i2w2
Baseline,181,2g5n7pyg,181,0.0,7561243.0,,,,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,7,uln4i2w2
Pollution,182,g48dixz6,182,2.0,276405123.0,,,,3.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,,,,,,7,uln4i2w2
Public Services,183,fwfuqj1n,183,5.0,534607251.0,,,,2.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,,,,,,7,uln4i2w2
Road Pricing,184,gtdje6cr,184,6.0,661275403.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,,,,,,7,uln4i2w2
Social Norm,185,3eul560y,185,2.0,237564120.0,,,,1.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,,,,,,7,uln4i2w2
Baseline,186,0cs54xye,186,0.0,51043672.0,,,,1.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,4.0,,,,,,7,uln4i2w2
Pollution,187,eylqxj71,187,7.0,776321054.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,7,uln4i2w2
Public Services,188,ruyh9n6b,188,6.0,601724653.0,,,,3.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,7,uln4i2w2
Road Pricing,189,8pynl7ss,189,1.0,105642731.0,,,,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,,,,,,7,uln4i2w2
Social Norm,190,59n20b5h,190,1.0,167510243.0,,,,3.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,,,,,,7,uln4i2w2
Baseline,191,j2mq41ck,191,5.0,565701234.0,,,,1.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,,,,,7,uln4i2w2
Pollution,192,1ikxvt4t,192,5.0,562413570.0,,,,1.0,3.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,1.0,2.0,,,,,,7,uln4i2w2
Public Services,193,kmuqcxnd,193,0.0,12374605.0,,,,2.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,,,,,,7,uln4i2w2
Road Pricing,194,zzfp66nz,194,5.0,503456271.0,,,,2.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,,,,,,7,uln4i2w2
Social Norm,195,rzj1zkde,195,5.0,554203617.0,,,,2.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,,,,,,7,uln4i2w2
Baseline,196,8h261v8y,196,0.0,37064152.0,,,,1.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,1.0,,,,,,7,uln4i2w2
Pollution,197,kehx30i1,197,2.0,220657431.0,,,,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,7,uln4i2w2
Public Services,198,h954glar,198,6.0,641752630.0,,,,1.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,,,,,,7,uln4i2w2
Road Pricing,199,rf36vzrz,199,5.0,556473120.0,,,,3.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,,,,,,7,uln4i2w2
Social Norm,200,zx9q6r8j,200,1.0,141630527.0,,,,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,,,,,,7,uln4i2w2
Baseline,201,zuchyshq,201,4.0,473012456.0,,,,2.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,,,,,,7,uln4i2w2
Pollution,202,usw0ho0w,202,5.0,565271430.0,,,,2.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,,,,,7,uln4i2w2
Public Services,203,yg0u2s29,203,4.0,473650241.0,,,,3.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,,,,,,7,uln4i2w2
Road Pricing,204,icyy4gj9,204,3.0,373215640.0,,,,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,,,,,,7,uln4i2w2
Social Norm,205,ofovwmcu,205,1.0,156140723.0,,,,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,,,,,,7,uln4i2w2
Baseline,206,ej6rauep,206,4.0,405734261.0,,,,3.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,7,uln4i2w2
Pollution,207,2jujl8yx,207,3.0,356032741.0,,,,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,,,,,,7,uln4i2w2
Public Services,208,3zckjiwm,208,6.0,602375461.0,,,,1.0,2.0,2.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,,,,,,7,uln4i2w2
Road Pricing,209,99uvy2a3,209,6.0,653710246.0,,,,3.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,,,,,,7,uln4i2w2
Social Norm,210,1p5o9whu,210,4.0,402714536.0,,,,2.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,7,uln4i2w2
Baseline,211,4qwckjvh,211,5.0,541375062.0,,,,3.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0,4.0,,,,,,7,uln4i2w2
Pollution,212,nu61zd7a,212,2.0,241257306.0,,,,1.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,7,uln4i2w2
Public Services,213,o7sv55mv,213,3.0,304723615.0,,,,3.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,,,,,,7,uln4i2w2
Road Pricing,214,xb5otfec,214,4.0,413457062.0,,,,2.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,7,uln4i2w2
Social Norm,215,t0s3r5ft,215,4.0,473162405.0,,,,2.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,,,,,,7,uln4i2w2
Baseline,216,3wya37jq,216,7.0,770643251.0,,,,3.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,7,uln4i2w2
Pollution,217,0j0hel02,217,2.0,221304567.0,,,,2.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,,,,,,7,uln4i2w2
Public Services,218,j51480ug,218,4.0,416324075.0,,,,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,,,,,,7,uln4i2w2
Road Pricing,219,l8vd0017,219,1.0,164501372.0,,,,1.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,,,,,,7,uln4i2w2
Social Norm,220,z97sag0o,220,7.0,736072541.0,,,,2.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,7,uln4i2w2
Baseline,221,xfy4mzya,221,0.0,20537416.0,,,,1.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,,,,,,7,uln4i2w2
Pollution,222,f3cgwwti,222,4.0,453426107.0,,,,2.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,,,,,,7,uln4i2w2
Public Services,223,1e3j5imf,223,4.0,442760153.0,,,,1.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,,,,,,7,uln4i2w2
Road Pricing,224,hcvx6gus,224,2.0,242350761.0,,,,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,,,,,,7,uln4i2w2
Social Norm,225,8yxizjok,225,5.0,512503467.0,,,,3.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,,,,,,7,uln4i2w2
Baseline,226,j89nbl9l,226,5.0,552460317.0,,,,3.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,7,uln4i2w2
Pollution,227,uj5049u6,227,0.0,6731452.0,,,,1.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,,,,,,7,uln4i2w2
Public Services,228,glhk1k70,228,7.0,726071543.0,,,,3.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,7,uln4i2w2
Road Pricing,229,xxzn41d8,229,7.0,727145630.0,,,,2.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,,,,,,7,uln4i2w2
Social Norm,230,kyzxxm4v,230,3.0,367452130.0,,,,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,,,,,,7,uln4i2w2
Baseline,231,2yh3thgx,231,7.0,741372065.0,,,,3.0,3.0,1.0,2.0,2.0,5.0,4.0,3.0,1.0,3.0,3.0,,,,,,7,uln4i2w2
Pollution,232,jmiiv7oa,232,5.0,554126370.0,,,,2.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,,,,,,7,uln4i2w2
Public Services,233,qgz4zlpi,233,1.0,102763415.0,,,,1.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,,,,,,7,uln4i2w2
Road Pricing,234,zyp5jsph,234,3.0,346357120.0,,,,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,,,,,,7,uln4i2w2
Social Norm,235,3nruygk4,235,4.0,431520674.0,,,,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,,,,,,7,uln4i2w2
Baseline,236,4e3evrex,236,2.0,236541702.0,,,,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,7,uln4i2w2
Pollution,237,dtsnstom,237,0.0,73041526.0,,,,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,,,,,,7,uln4i2w2
Public Services,238,qczkxony,238,4.0,412536470.0,,,,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,,,,,,7,uln4i2w2
Road Pricing,239,l32fjokr,239,1.0,160134275.0,,,,3.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,,,,,,7,uln4i2w2
Social Norm,240,43ka5pq8,240,6.0,620461375.0,,,,3.0,4.0,4.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,3.0,,,,,,7,uln4i2w2
Baseline,241,31icrenz,241,2.0,203265471.0,,,,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,,,,,,7,uln4i2w2
Pollution,242,8wlnfqgh,242,1.0,142360517.0,,,,3.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,,,,,,7,uln4i2w2
Public Services,243,w2ri2ul8,243,2.0,206421753.0,,,,1.0,1.0,1.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,,,,,,7,uln4i2w2
Road Pricing,244,1gvw8q3t,244,2.0,202643175.0,,,,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,,,,,,7,uln4i2w2
Social Norm,245,y7eawb8n,245,4.0,404152637.0,,,,3.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,7,uln4i2w2
Baseline,246,b9pu3vjx,246,4.0,440175632.0,,,,1.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,7,uln4i2w2
Pollution,247,rfapg1hp,247,7.0,715037246.0,,,,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,,,,,,7,uln4i2w2
Public Services,248,675xccow,248,3.0,303251764.0,,,,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,5.0,,,,,,7,uln4i2w2
Road Pricing,249,x5lr3yks,249,3.0,332514067.0,,,,2.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,5.0,,,,,,7,uln4i2w2
Social Norm,250,absgb5uj,250,5.0,570321456.0,,,,1.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,,,,,,7,uln4i2w2
Baseline,251,1d0poo9h,251,4.0,407651243.0,,,,2.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,,,,,,7,uln4i2w2
Pollution,252,xiq7fltm,252,7.0,752063714.0,,,,3.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,,,,,,7,uln4i2w2
Public Services,253,iv701z17,253,2.0,220416735.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,,,7,uln4i2w2
Road Pricing,254,kevmuj1h,254,5.0,525610734.0,,,,1.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,,,,,7,uln4i2w2
Social Norm,255,tf5jk4n7,255,7.0,760243157.0,,,,3.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,7,uln4i2w2
Baseline,256,7ezg3uk8,256,6.0,664351207.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,,,,,,7,uln4i2w2
Pollution,257,9iqp2x07,257,5.0,501437652.0,,,,2.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,,,,,,7,uln4i2w2
Public Services,258,vywa3ivw,258,2.0,260734215.0,,,,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,,,,,,7,uln4i2w2
Road Pricing,259,n0j1ad5p,259,1.0,106374215.0,,,,3.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,,,,,,7,uln4i2w2
Social Norm,260,34wr3ho4,260,4.0,413650724.0,,,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,,,,,,7,uln4i2w2
Baseline,261,vshbi7qp,261,7.0,742057163.0,,,,1.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,,,,,,7,uln4i2w2
Pollution,262,xibdhyj2,262,2.0,217403652.0,,,,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,5.0,,,,,,7,uln4i2w2
Public Services,263,9xuydnwh,263,4.0,402546731.0,,,,2.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,7,uln4i2w2
Road Pricing,264,dfiaeh3q,264,1.0,173521046.0,,,,3.0,4.0,2.0,4.0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,,,,,,7,uln4i2w2
Social Norm,265,cqigxlf9,265,6.0,647621305.0,,,,2.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,,,,,,7,uln4i2w2
Baseline,266,46eh1004,266,4.0,414360725.0,,,,3.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,,,,,,7,uln4i2w2
Pollution,267,owh0yuj3,267,6.0,672504316.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,,,,,,7,uln4i2w2
Public Services,268,zw6h1g9v,268,5.0,574201635.0,,,,3.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,,,,,7,uln4i2w2
Road Pricing,269,lhana9pt,269,6.0,615720346.0,,,,1.0,3.0,4.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,1.0,,,,,,7,uln4i2w2
Social Norm,270,7s5p6atu,270,5.0,545613027.0,,,,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,,,,,,7,uln4i2w2
Baseline,271,vw95jws5,271,2.0,225601437.0,,,,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,,,7,uln4i2w2
Pollution,272,a6r2q1fk,272,5.0,540257361.0,,,,1.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0,4.0,,,,,,7,uln4i2w2
Public Services,273,w9soq5rw,273,2.0,260512734.0,,,,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,,,7,uln4i2w2
Road Pricing,274,1e36dal6,274,0.0,32056714.0,,,,1.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,,,,,,7,uln4i2w2
Social Norm,275,f4eq8z4d,275,0.0,42750136.0,,,,1.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,,,,,,7,uln4i2w2
Baseline,276,3mcrze9h,276,6.0,612376450.0,,,,1.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,7,uln4i2w2
Pollution,277,ru77h66k,277,7.0,742306157.0,,,,3.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,7,uln4i2w2
Public Services,278,mqzxt6s3,278,5.0,551372604.0,,,,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,,,,,,7,uln4i2w2
Road Pricing,279,ql1twpop,279,4.0,476514320.0,,,,3.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,,,,,,7,uln4i2w2
Social Norm,280,49rr85te,280,0.0,62013574.0,,,,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,5.0,,,,,,7,uln4i2w2
Baseline,281,jlo6442n,281,0.0,37612540.0,,,,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,7,uln4i2w2
Pollution,282,gg8ko6p0,282,4.0,453240716.0,,,,1.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,,,,,,7,uln4i2w2
Public Services,283,7r44bqmz,283,2.0,271253460.0,,,,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,,,,,,7,uln4i2w2
Road Pricing,284,5opullri,284,6.0,651763420.0,,,,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,,,,,,7,uln4i2w2
Social Norm,285,2ckjnw69,285,4.0,463410275.0,,,,3.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,,,,,,7,uln4i2w2
Baseline,286,dq5vdyxt,286,3.0,375412036.0,,,,2.0,2.0,2.0,1.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,,,,,,7,uln4i2w2
Pollution,287,24zavgfb,287,2.0,264573120.0,,,,1.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,,,,,,7,uln4i2w2
Public Services,288,ac5dpxqa,288,7.0,731405627.0,,,,3.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,,,,,,7,uln4i2w2
Road Pricing,289,ghlcrg8a,289,5.0,560713425.0,,,,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,,,,,,7,uln4i2w2
Baseline,291,mmxp1r7r,291,6.0,643657210.0,,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,,,,,,7,uln4i2w2
Pollution,292,rb5hqtd2,292,2.0,221456037.0,,,,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,,,7,uln4i2w2
Public Services,293,0msu1j7j,293,7.0,762714305.0,,,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,,,,,,7,uln4i2w2
Road Pricing,294,mb86sa8c,294,1.0,176415230.0,,,,2.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,,7,uln4i2w2
Social Norm,295,b1dwyumm,295,7.0,715260374.0,,,,1.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,,,,,,7,uln4i2w2
Baseline,296,efidc6vw,296,6.0,631267054.0,,,,3.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,,,,,,7,uln4i2w2
Pollution,297,1csaja5j,297,7.0,765301724.0,,,,2.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,,,,,,7,uln4i2w2
Public Services,298,ek56lqts,298,1.0,141673250.0,,,,3.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,,,,,,7,uln4i2w2
Road Pricing,299,6ns96kzs,299,5.0,523047516.0,,,,2.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,7,uln4i2w2
Social Norm,300,3w25c0m1,300,5.0,554016723.0,,,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,,,,,,7,uln4i2w2
Baseline,301,6i0h5wi4,301,4.0,445173620.0,,,,3.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,,,,,,7,uln4i2w2
Pollution,302,ffb96eam,302,7.0,727510436.0,,,,2.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,,,,,,7,uln4i2w2
Public Services,303,i5eg5b0r,303,7.0,747036215.0,,,,2.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,,,,,,7,uln4i2w2
Road Pricing,304,uw4hh2jw,304,0.0,5721643.0,,,,1.0,1.0,1.0,4.0,1.0,5.0,3.0,4.0,3.0,4.0,4.0,,,,,,7,uln4i2w2
Social Norm,305,4jze1n2r,305,1.0,105241367.0,,,,2.0,4.0,3.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,1.0,,,,,,7,uln4i2w2
Baseline,306,zqz532qu,306,2.0,261204735.0,,,,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,7,uln4i2w2
Pollution,307,ltvgs7sv,307,6.0,634607152.0,,,,3.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,,,,,,7,uln4i2w2
Public Services,308,gudrr5pm,308,0.0,35701624.0,,,,1.0,3.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0,,,,,,7,uln4i2w2
Road Pricing,309,7cedtfjx,309,3.0,324753061.0,,,,2.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,5.0,,,,,,7,uln4i2w2
Social Norm,310,we2x75pj,310,1.0,171603245.0,,,,1.0,4.0,2.0,4.0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,,,,,,7,uln4i2w2
Baseline,311,igkulx8h,311,5.0,527104536.0,,,,1.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,,,,,7,uln4i2w2
Pollution,312,7i4hi98y,312,6.0,607635241.0,,,,3.0,3.0,4.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,1.0,,,,,,7,uln4i2w2
Public Services,313,n9zu972y,313,1.0,101273654.0,,,,3.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,,,,,,7,uln4i2w2
Road Pricing,314,o5y27rxx,314,6.0,631762054.0,,,,1.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,7,uln4i2w2
Social Norm,315,fctjiy03,315,6.0,663741052.0,,,,3.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,7,uln4i2w2
